teff,logg,period
4244.0,4.66,28.128
4061.0,4.61,14.706
4142.0,4.58,33.834
4339.0,4.58,37.468
4387.0,4.71,31.529
4271.0,4.53,41.032
4309.0,4.58,9.844
4234.0,4.43,23.773
3918.0,4.45,41.477
4040.0,4.36,43.682
3840.0,4.72,18.862
4251.0,4.39,10.92
4251.0,4.52,18.716
4362.0,4.55,26.06
3776.0,4.77,37.174
4115.0,4.39,11.573
4122.0,4.45,0.48
4203.0,4.66,29.215
3756.0,4.81,27.488
3935.0,4.7,31.464
4342.0,4.68,21.405
3510.0,4.89,29.014
4287.0,4.6,42.352
4022.0,4.55,11.861
3775.0,4.77,15.688
4361.0,4.61,28.627
3901.0,4.72,29.89
3727.0,4.78,15.774
4323.0,4.68,32.275
4393.0,4.64,13.324
3889.0,4.72,16.645
3934.0,4.75,42.492
4208.0,4.58,11.517
4260.0,4.57,17.834
4388.0,4.58,18.615
3917.0,4.7,1.195
4394.0,4.82,27.894
3537.0,4.92,14.832
4317.0,4.62,13.113
4291.0,4.66,10.363
3680.0,4.55,37.568
4297.0,4.62,11.546
3410.0,4.91,23.15
4286.0,4.61,12.657
4059.0,4.65,8.063
3478.0,4.95,40.26
4388.0,4.48,9.661
4303.0,4.66,40.814
3909.0,4.41,27.783
3517.0,4.84,39.078
4244.0,4.42,5.128
4115.0,4.49,15.149
4110.0,4.39,14.505
4096.0,4.4,1.157
3810.0,4.75,25.982
3963.0,4.72,16.654
4324.0,4.63,22.594
3965.0,4.68,26.417
3607.0,4.86,23.18
4205.0,4.63,38.864
3428.0,4.9,44.763
3959.0,4.74,14.43
3988.0,4.7,31.649
4067.0,4.5,14.874
3679.0,4.82,20.429
3670.0,4.79,30.382
3936.0,4.72,29.783
4318.0,4.59,14.13
4353.0,4.61,22.173
4391.0,4.61,11.33
4353.0,4.71,12.639
3858.0,4.77,32.073
4187.0,4.67,20.959
4083.0,4.69,16.895
3804.0,4.77,5.019
4153.0,4.63,21.051
4091.0,4.57,17.062
4092.0,4.55,13.823
3918.0,4.73,13.676
4163.0,4.63,11.35
3783.0,4.79,18.752
4356.0,4.61,21.975
4212.0,4.69,20.062
3452.0,5.0,40.378
4067.0,4.54,12.566
4353.0,4.62,29.515
3926.0,4.71,28.14
4251.0,4.64,10.419
3538.0,4.84,51.96
3652.0,4.88,29.594
3752.0,4.78,19.562
