HIP,RAhms,DEdms,vmag,VarFlag,HD,spectral_type,tic,logg,teff,ra,dec,ms,rs,period
8770,01 52 50.52,-19 30 24.2,7.51,,11506.0,G0V,266680498.0,4.2264,6030.0,28.210560624846398,-19.50697522118369,1.12,1.35033,11.770011196182153
12114,02 36 03.83,+06 53 00.1,5.79,,16160.0,K3V,471011360.0,4.57999992370605,4699.0,39.020367,6.88687,0.759999990463257,,15.851740403228138
22263,04 47 36.21,-16 56 05.5,5.49,1.0,30495.0,G3V,117979951.0,4.49273,5834.0,71.9012156683654,-16.9344560923089,1.05,0.962191,6.166171125386061
29673,06 15 06.05,-71 42 10.4,6.62,,44447.0,F8V,41533357.0,4.2473,6002.62,93.77507618455549,-71.7027644411129,1.11,1.31233,18.04117337685928
6455,01 23 00.96,-16 29 13.3,7.92,,8406.0,G5V,32550957.0,4.51311,5733.28,20.753639499441398,-16.4874616142198,1.02,0.926362,22.1519681497796
6206,01 19 33.40,-39 21 45.8,7.65,,8076.0,G2V,41841553.0,4.44845,5898.23,19.8891381607338,-39.36260140719421,1.07,1.02212,7.032047115173835
85960,17 34 05.32,-59 46 29.3,7.6,,158630.0,G2V,73835184.0,4.46621,5895.82,263.521956893932,-59.77577899320229,1.07,1.0014299999999998,15.80113193974088
84491,17 16 23.94,-21 51 27.2,7.53,,156079.0,G3V,78939530.0,4.0671300000000015,5892.0,259.09955945099097,-21.857951150437607,1.07,1.58549,3.358926792592106
22336,04 48 36.20,-05 40 24.4,5.77,,30562.0,F8V,176379354.0,4.03575,5872.3,72.1516044426767,-5.674042860124849,1.06,1.63611,10.33588051656197
3053,00 38 45.68,-85 24 44.5,7.74,,4152.0,G8V,410305958.0,4.19435,5448.0,9.687048,-85.412477,0.878000020980835,,9.661077239814281
102040,20 40 45.07,+19 56 05.2,6.43,,197076.0,G5V,330872058.0,4.46481,5810.0,310.188086611259,19.9355356960424,1.04,0.988885,13.89302959530198
83174,16 59 54.78,-59 19 46.0,7.18,,152923.0,F6V,171632238.0,4.2483900000000006,6376.0,254.978346810686,-59.32966962959189,1.27,1.40198,1.2697995196181782
14150,03 02 25.87,+26 36 34.7,6.62,,18803.0,G8V,34691643.0,4.4493800000000014,5648.0,45.6084428485159,26.6092389435235,1,0.987061,20.731176909987255
9349,02 00 05.31,-13 32 45.8,7.99,,12264.0,G5V,423752904.0,4.50007,5810.18,30.0222420669111,-13.546111120177699,1.04,0.949548,17.07163991554938
55203,11 18 11.24,+31 31 50.8,3.79,,98230.0,G0V,,4.39,6005.0,,,0.97,1.02,4.0044850798089895
104239,21 07 10.15,-13 55 22.1,7.12,1.0,200968.0,K1V,214563192.0,4.56447,5140.71,316.793253603091,-13.9229258355302,0.87,0.8064100000000001,27.99989240928512
4882,01 02 44.03,-47 17 14.1,7.7,,6236.0,G0V,102029895.0,4.3975,6078.45,15.6833342594205,-47.2875795494463,1.14,1.11875,25.788752963531817
60074,12 19 06.61,+16 32 55.2,7.04,1.0,107146.0,G2V,72408098.0,4.50053,5873.0,184.77709259014802,16.5482974198198,1.06,0.958127,16.629606510431884
10531,02 15 41.76,+67 40 23.0,7.13,,13579.0,K2V,379603165.0,4.51281,5134.0,33.927306760538805,67.67231260042189,0.87,0.855828,11.95034630059132
107821,21 50 36.25,+28 46 02.0,7.97,,207740.0,G5V,16808542.0,4.21486,5541.59,327.650925525622,28.767182443505202,0.98,1.2800200000000002,10.575163399038006
112763,22 50 10.81,-41 29 22.6,7.77,,216054.0,G5V,214990792.0,4.55328,5452.56,342.543862383665,-41.4901063924655,0.95,0.853605,22.010814861227114
81880,16 43 30.08,+20 42 58.3,7.19,,150933.0,G2V,347598989.0,4.20215,6094.37,250.87539861654201,20.7161134442363,1.14,1.4009200000000002,20.79509849835196
77129,15 44 55.83,+21 26 38.7,7.49,,140812.0,F5V,349360612.0,4.2923300000000015,6381.59,236.232752559504,21.4443938959129,1.28,1.33806,6.740046174518034
3086,00 39 12.81,+03 07 59.5,7.34,,3628.0,G2V,328030874.0,4.07000017166138,5759.69,9.805289,3.1339240000000004,1.04999995231628,1.56216,6.201506794132228
110035,22 17 14.63,+12 53 53.7,7.04,,211476.0,G2V,404487000.0,4.3985,5846.72,334.313087482443,12.8984900886511,1.06,1.07755,4.492176913242703
95457,19 25 06.17,-23 02 30.5,7.58,,182346.0,F6V,118951391.0,4.26322,6208.0,291.275888,-23.041834,1.09800004959106,,3.677153412273465
