,teff,logg,period
108,4311.0,4.6,11.569
109,4351.0,4.76,31.136
110,3511.0,4.06,32.181
111,3764.0,4.77,17.539
112,4094.0,4.55,11.976
113,4263.0,4.63,25.117
114,4108.0,4.47,42.211
115,3624.0,4.1,14.903
116,3531.0,4.05,29.878
117,3790.0,4.79,28.03
118,4301.0,4.66,23.701
119,4244.0,4.46,19.741
120,3743.0,4.79,16.171
121,3368.0,4.94,56.728
122,4126.0,4.58,38.828
123,4084.0,4.55,23.83
124,3921.0,4.72,4.14
125,3981.0,4.7,29.857
126,3777.0,4.77,26.884
127,4327.0,4.73,13.802
128,4248.0,4.37,8.698
129,4004.0,4.47,22.446
130,4113.0,4.57,23.378
131,3761.0,4.8,33.05
132,4248.0,4.5,10.039
133,4199.0,4.49,18.987
134,3800.0,4.79,14.707
135,3204.0,5.13,24.142
136,4380.0,4.55,19.892
137,3914.0,4.73,37.55
138,3524.0,4.88,21.875
139,3716.0,4.81,13.436
140,3233.0,5.08,23.227
141,4211.0,4.41,27.236
142,3624.0,4.82,41.079
143,4061.0,4.33,39.835
144,4078.0,4.54,13.36
145,3735.0,4.84,14.995
146,3971.0,4.7,29.358
147,4043.0,4.36,34.624
148,4106.0,4.58,13.555
149,3666.0,4.83,32.441
150,4201.0,4.39,12.27
151,4220.0,4.53,24.459
152,3395.0,4.98,38.698
153,4120.0,4.55,25.968
154,3598.0,4.86,16.134
155,4106.0,4.53,25.844
156,4110.0,4.59,27.452
157,3685.0,4.8,36.292
158,3695.0,4.81,17.206
159,4258.0,4.62,11.846
160,4286.0,4.45,25.092
161,3632.0,4.83,45.917
162,3547.0,4.89,19.597
163,4249.0,4.48,30.939
164,4041.0,4.51,18.59
165,4242.0,4.49,34.277
166,4208.0,4.37,0.244
167,4279.0,4.57,21.995
168,4348.0,4.61,32.258
169,3664.0,4.81,17.658
170,4370.0,4.58,21.621
171,4148.0,4.49,31.286
172,3726.0,4.52,15.095
173,4286.0,4.5,31.335
174,4389.0,4.37,38.466
175,4338.0,4.67,19.616
176,4083.0,4.58,16.085
177,3567.0,4.86,22.168
178,3981.0,4.72,43.328
179,3522.0,4.93,34.991
180,3449.0,4.92,39.259
181,3601.0,4.88,18.095
182,4112.0,4.59,31.992
183,3901.0,4.7,13.451
184,4285.0,4.42,27.394
185,4232.0,4.61,24.516
186,4058.0,4.64,8.163
187,3522.0,4.88,14.561
188,3379.0,4.94,4.785
189,3832.0,4.38,13.318
190,3417.0,4.97,45.448
191,4340.0,4.63,16.643
192,4219.0,4.62,33.076
193,3341.0,4.97,37.751
194,4156.0,4.62,16.408
195,4192.0,4.4,11.387
196,4288.0,4.34,9.949
197,4156.0,4.56,38.283
198,4170.0,4.52,7.548
199,3965.0,4.63,37.107
200,3792.0,4.79,42.001
201,4201.0,4.5,31.812
202,3751.0,4.8,34.067
203,4312.0,4.77,14.361
204,3916.0,4.7,1.228
205,3897.0,4.73,4.271
206,3920.0,4.28,39.978
207,3531.0,4.85,38.682
208,3965.0,4.7,31.213
209,3983.0,4.7,14.992
210,4147.0,4.5,20.146
211,4160.0,4.61,36.57
212,4097.0,4.42,4.91
213,4204.0,4.46,35.479
214,4172.0,4.63,39.636
215,3563.0,5.04,33.796
216,4390.0,4.56,11.07
217,3846.0,4.76,29.59
218,4269.0,4.55,32.023
219,4151.0,4.65,17.391
220,4289.0,4.51,13.433
221,4106.0,4.53,15.677
222,4098.0,4.64,13.303
223,3998.0,4.41,18.572
224,3901.0,4.43,30.062
225,3963.0,4.7,18.869
226,3536.0,4.14,31.165
227,4259.0,4.65,42.057
228,4189.0,4.56,33.419
229,4028.0,4.45,13.004
230,4198.0,4.67,30.998
231,3456.0,4.97,36.352
232,4325.0,4.67,33.872
233,3509.0,4.91,31.578
234,4290.0,4.61,32.512
235,3401.0,4.97,46.523
236,3956.0,4.72,12.81
237,4108.0,4.52,16.255
238,4371.0,4.59,30.595
239,4214.0,4.59,48.654
240,4069.0,4.5,25.644
241,4118.0,4.53,14.092
242,4058.0,4.45,17.245
243,4381.0,4.61,22.704
244,4214.0,4.7,34.57
245,3826.0,4.77,15.656
246,3876.0,4.45,28.506
247,4342.0,4.69,10.565
248,4216.0,4.78,15.773
249,4115.0,4.34,12.228
250,4084.0,4.62,31.247
251,4008.0,4.49,39.139
252,4138.0,4.59,14.936
253,4187.0,4.63,19.535
254,4368.0,4.62,17.91
255,3748.0,4.78,17.362
256,3742.0,4.77,34.672
257,4352.0,4.52,17.347
258,4349.0,4.53,0.469
259,4229.0,4.58,19.128
260,4395.0,4.47,32.621
261,3825.0,4.49,37.159
262,4088.0,4.32,7.9
263,4325.0,4.62,20.453
264,4273.0,4.87,13.621
265,3724.0,4.51,40.417
266,4309.0,4.51,19.613
267,3550.0,4.87,35.534
268,3475.0,4.87,34.012
269,4403.0,4.49,11.855
270,3999.0,4.69,21.357
271,4195.0,4.33,37.221
272,4168.0,4.57,16.013
273,3683.0,4.35,40.955
274,4389.0,4.47,25.652
275,3428.0,4.9,1.96
276,4377.0,4.64,39.212
277,3430.0,4.9,30.577
278,3921.0,4.54,18.321
279,4091.0,4.42,23.586
280,3966.0,4.68,8.099
281,4217.0,4.5,25.005
